model,n_samples,macro_f1,weighted_f1,macro_precision,macro_recall
IndicBERTv2-SS,248,0.1664,0.1422,0.1844,0.3743
IndicBERTv2-Sam,248,0.1917,0.1873,0.1893,0.3799
MuRIL,248,0.0948,0.0611,0.0536,0.4286
MentalBERT,248,0.3155,0.4091,0.202,0.964
MentalRoBERTa,248,0.1916,0.1676,0.1201,0.5952
BART-Base,248,0.1871,0.1601,0.117,0.6143
BART-Large,248,0.1532,0.2808,0.1743,0.2899
MentalBART,248,0.3198,0.4189,0.2024,0.9938
PALO-7B,248,0.1732,0.3003,0.1436,0.2497
LLaVA-1.5,248,0.2414,0.3525,0.4499,0.4067
LLaVA-NeXT,248,0.187,0.3214,0.2468,0.2883
BLIP-2,248,0.2469,0.3275,0.2265,0.3088
IDEFICS,248,0.2327,0.2996,0.2319,0.2629
BLIP,248,0.0566,0.0717,0.3333,0.0311
