model,symptom,precision,recall,f1,support
LLaVA-1.5-7B,Feeling Down,0.4103,1.0,0.5818,16
LLaVA-1.5-7B,Lack of Interest,0.0,0.0,0.0,2
LLaVA-1.5-7B,Self-Harm,0.0,0.0,0.0,4
LLaVA-1.5-7B,Eating Disorder,0.0,0.0,0.0,10
LLaVA-1.5-7B,Low Self-Esteem,0.2564,1.0,0.4082,10
LLaVA-1.5-7B,Concentration Problem,0.1429,0.5,0.2222,4
LLaVA-1.5-7B,Sleeping Disorder,0.1818,0.5,0.2667,4
LLaVA-NeXT-7B,Feeling Down,0.4103,1.0,0.5818,16
LLaVA-NeXT-7B,Lack of Interest,0.0,0.0,0.0,2
LLaVA-NeXT-7B,Self-Harm,0.0,0.0,0.0,4
LLaVA-NeXT-7B,Eating Disorder,0.0,0.0,0.0,10
LLaVA-NeXT-7B,Low Self-Esteem,0.2353,0.8,0.3636,10
LLaVA-NeXT-7B,Concentration Problem,0.3333,0.25,0.2857,4
LLaVA-NeXT-7B,Sleeping Disorder,0.2,0.25,0.2222,4
BLIP-2-Flan-T5-XL,Feeling Down,0.4706,0.5,0.4848,16
BLIP-2-Flan-T5-XL,Lack of Interest,0.0769,1.0,0.1429,2
BLIP-2-Flan-T5-XL,Self-Harm,0.0,0.0,0.0,4
BLIP-2-Flan-T5-XL,Eating Disorder,0.5,0.2,0.2857,10
BLIP-2-Flan-T5-XL,Low Self-Esteem,0.25,0.1,0.1429,10
BLIP-2-Flan-T5-XL,Concentration Problem,0.3333,0.25,0.2857,4
BLIP-2-Flan-T5-XL,Sleeping Disorder,0.0,0.0,0.0,4
PALO-7B,Feeling Down,0.4167,0.9375,0.5769,16
PALO-7B,Lack of Interest,0.25,0.5,0.3333,2
PALO-7B,Self-Harm,0.0,0.0,0.0,4
PALO-7B,Eating Disorder,0.0,0.0,0.0,10
PALO-7B,Low Self-Esteem,0.3125,1.0,0.4762,10
PALO-7B,Concentration Problem,0.5,0.25,0.3333,4
PALO-7B,Sleeping Disorder,0.0,0.0,0.0,4
IDEFICS-9B,Feeling Down,0.6667,0.5,0.5714,16
IDEFICS-9B,Lack of Interest,0.0,0.0,0.0,2
IDEFICS-9B,Self-Harm,0.0,0.0,0.0,4
IDEFICS-9B,Eating Disorder,0.0,0.0,0.0,10
IDEFICS-9B,Low Self-Esteem,0.3333,0.1,0.1538,10
IDEFICS-9B,Concentration Problem,0.0,0.0,0.0,4
IDEFICS-9B,Sleeping Disorder,0.25,0.25,0.25,4
mBLIP-mT0-XL,Feeling Down,0.0,0.0,0.0,16
mBLIP-mT0-XL,Lack of Interest,0.0,0.0,0.0,2
mBLIP-mT0-XL,Self-Harm,0.0,0.0,0.0,4
mBLIP-mT0-XL,Eating Disorder,0.0,0.0,0.0,10
mBLIP-mT0-XL,Low Self-Esteem,0.0,0.0,0.0,10
mBLIP-mT0-XL,Concentration Problem,0.0,0.0,0.0,4
mBLIP-mT0-XL,Sleeping Disorder,0.0,0.0,0.0,4
BLIP-Base,Feeling Down,0.0,0.0,0.0,16
BLIP-Base,Lack of Interest,0.0,0.0,0.0,2
BLIP-Base,Self-Harm,0.0,0.0,0.0,4
BLIP-Base,Eating Disorder,0.0,0.0,0.0,10
BLIP-Base,Low Self-Esteem,0.0,0.0,0.0,10
BLIP-Base,Concentration Problem,0.0,0.0,0.0,4
BLIP-Base,Sleeping Disorder,1.0,0.25,0.4,4
Chitrarth-7.5B,Feeling Down,0.0,0.0,0.0,16
Chitrarth-7.5B,Lack of Interest,0.0,0.0,0.0,2
Chitrarth-7.5B,Self-Harm,0.0,0.0,0.0,4
Chitrarth-7.5B,Eating Disorder,0.0,0.0,0.0,10
Chitrarth-7.5B,Low Self-Esteem,0.0,0.0,0.0,10
Chitrarth-7.5B,Concentration Problem,0.0,0.0,0.0,4
Chitrarth-7.5B,Sleeping Disorder,0.0,0.0,0.0,4
