model,n_samples,macro_f1,weighted_f1,macro_precision,macro_recall
IndicBERTv2-SS,258,0.168,0.1603,0.1858,0.3421
IndicBERTv2-Sam,258,0.2051,0.1897,0.1831,0.3883
MuRIL,258,0.1164,0.1029,0.0681,0.4286
MentalBERT,258,0.3145,0.3522,0.1943,0.9527
MentalRoBERTa,258,0.1689,0.145,0.1121,0.586
BART-Base,258,0.1947,0.1713,0.1167,0.6171
BART-Large,258,0.1633,0.2105,0.1788,0.3168
MentalBART,258,0.3163,0.3538,0.1921,1.0
PALO-7B,258,0.143,0.1919,0.1133,0.256
LLaVA-1.5,258,0.2254,0.2814,0.2989,0.3998
LLaVA-NeXT,258,0.1522,0.21,0.1718,0.2658
BLIP-2,258,0.284,0.3261,0.1994,0.5311
IDEFICS,258,0.171,0.2006,0.177,0.1902
BLIP,258,0.0502,0.067,0.3429,0.0292
