category,count,percentage,rank,is_top5,test,val,train
UNIVERSAL_HUMAN,827,81.00,1,yes,525,255,0
LANGUAGE_DEPENDENT,41,4.02,2,yes,28,11,0
POP_CULTURE_DEPENDENT,31,3.04,3,yes,22,9,0
CULTURAL_REFERENCE_DEPENDENT,25,2.45,4,yes,19,4,0
BRAND_DEPENDENT,24,2.35,5,yes,14,10,0
MEDIA_CONTEXT_DEPENDENT,18,1.76,6,no,10,8,0
NICHE_SUBCULTURE_DEPENDENT,12,1.18,7,no,9,3,0
CELEBRITY_DEPENDENT,11,1.08,8,no,10,1,0
MEME_FORMAT_DEPENDENT,8,0.78,9,no,6,2,0
REFERENCE_DEPENDENT,8,0.78,10,no,6,2,0
VISUAL_SYMBOL_DEPENDENT,7,0.69,11,no,5,2,0
LIFESTYLE_CONTEXT_DEPENDENT,6,0.59,12,no,3,3,0
INTERNET_CULTURE_DEPENDENT,3,0.29,13,no,3,0,0
